id,data,formato,pilar,legenda,alcance,curtidas,comentarios,salvamentos,compartilhamentos,retencao_media,alcance_nao_seguidores
p01,2026-06-02,reels,ponto-de-vista,"Por que consultor que baixa preco perde o cliente bom",18420,842,63,212,318,41,62
p02,2026-06-04,carrossel,utilidade,"O checklist de 7 itens que uso antes de mandar proposta",9310,614,38,486,141,,34
p03,2026-06-06,imagem,bastidor,"Perdi um contrato de 40k por isso",5120,398,27,44,31,,18
p04,2026-06-09,reels,utilidade,"3 perguntas que fecham reuniao de diagnostico",22150,1104,52,287,402,47,71
p05,2026-06-11,carrossel,ponto-de-vista,"Networking nao gera cliente. Isso aqui gera.",11840,702,91,398,268,,41
p06,2026-06-13,imagem,comunidade,"Qual o seu maior gargalo hoje pra fechar contrato?",4680,241,118,22,14,,12
p07,2026-06-16,reels,bastidor,"Como e minha semana quando estou prospectando",8940,387,19,58,47,26,29
p08,2026-06-18,carrossel,utilidade,"Modelo de proposta que uso ha 3 anos",14220,893,44,712,304,,52
p09,2026-06-20,imagem,oferta,"Abri 4 vagas de mentoria pra julho",6310,214,31,18,9,,8
p10,2026-06-23,reels,ponto-de-vista,"O erro que 90% dos consultores comete na primeira call",26780,1382,87,341,589,52,78
p11,2026-06-25,carrossel,comunidade,"Respondi 12 DMs esta semana. Estes foram os 3 padroes.",10480,588,102,294,231,,37
p12,2026-06-27,imagem,bastidor,"Meu setup de trabalho depois de 6 anos solo",3920,286,14,19,11,,15
p13,2026-06-30,reels,utilidade,"Como precificar por valor e nao por hora",19640,942,58,398,412,44,66
p14,2026-07-02,carrossel,ponto-de-vista,"Marketing de conteudo nao e sobre volume",12310,671,74,352,287,,44
